date,product,category,sales_rep,quantity,unit_price,total_revenue,region
2024-01-15,Laptop Pro,Electronics,Sarah Johnson,12,1299.99,15599.88,North
2024-01-16,Wireless Mouse,Electronics,Mike Chen,45,29.99,1349.55,West
2024-01-17,Office Chair,Furniture,Lisa Brown,8,249.95,1999.60,South
2024-01-18,Smartphone X,Electronics,David Wilson,25,899.00,22475.00,East
2024-01-19,Standing Desk,Furniture,Sarah Johnson,6,599.99,3599.94,North
2024-01-20,Bluetooth Speaker,Electronics,Mike Chen,30,79.99,2399.70,West
2024-01-21,Monitor 27inch,Electronics,Lisa Brown,15,349.99,5249.85,South
2024-01-22,Ergonomic Keyboard,Electronics,David Wilson,20,129.99,2599.80,East
2024-01-23,Conference Table,Furniture,Sarah Johnson,2,1299.99,2599.98,North
2024-01-24,Gaming Headset,Electronics,Mike Chen,18,199.99,3599.82,West
